,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
84,84,20200804,OB,SS,0,B,37,36,3,3,9,1,0,1,0,0,0,0,1,0.0,0,4,0,0,13,0.0,6,0
85,85,20200804,HT,LG,0,B,40,36,5,5,8,1,0,1,0,0,0,0,4,0.0,0,10,0,0,18,0.333333333,6,2
86,86,20200804,WO,KT,0,B,38,34,2,2,10,0,0,1,0,0,1,0,3,0.0,0,7,2,2,13,0.2,5,1
87,87,20200804,SK,LT,0,B,33,31,0,0,6,1,0,0,0,0,0,0,2,0.0,0,6,1,1,12,0.0,3,0
88,88,20200804,KT,WO,0,T,38,32,3,4,11,1,0,0,1,0,2,0,4,0.0,0,9,3,3,18,0.166666667,12,2
89,89,20200804,LT,SK,0,T,46,41,8,8,15,3,0,1,0,0,0,0,4,0.0,1,2,1,1,21,0.41666666700000005,12,5
90,90,20200804,LG,HT,0,T,47,41,15,15,16,1,2,3,0,0,0,0,5,0.0,1,9,1,1,16,0.538461538,13,7
91,91,20200804,SS,OB,0,T,41,34,5,6,7,2,0,1,1,0,0,0,6,1.0,1,10,0,0,20,0.333333333,9,3
92,92,20200805,OB,SS,0,B,32,28,2,2,4,0,0,0,1,0,0,0,3,0.0,1,4,0,0,14,0.0,6,0
93,93,20200805,SS,OB,0,T,40,34,2,2,12,2,0,0,1,0,2,0,4,2.0,0,4,1,1,22,0.166666667,12,2
94,94,20200805,NC,HH,0,T,43,30,5,5,6,0,1,0,0,0,2,1,9,1.0,2,4,1,1,18,0.181818182,11,2
95,95,20200805,HT,LG,0,B,38,35,4,4,9,1,0,0,1,0,1,0,2,0.0,0,11,0,0,13,0.5,6,3
96,96,20200805,LG,HT,0,T,41,35,6,6,11,3,0,2,0,0,1,0,5,0.0,0,10,2,2,15,0.3,10,3
97,97,20200805,HH,NC,0,B,43,33,6,8,12,2,0,1,0,0,3,2,5,0.0,2,5,2,2,17,0.25,12,3
98,98,20200805,WO,KT,0,B,46,40,12,12,15,2,0,1,0,0,0,0,5,0.0,1,7,0,0,30,2.125,17,8
99,99,20200805,KT,WO,0,T,36,34,3,3,10,1,0,1,0,0,0,0,1,0.0,1,3,1,1,10,0.28571428600000004,7,2
100,100,20200806,KT,WO,0,T,34,32,2,2,4,1,0,1,1,0,0,0,2,0.0,0,9,0,0,12,0.0,7,0
101,101,20200806,LG,HT,0,T,30,28,1,1,4,0,0,0,0,0,1,1,1,0.0,0,7,0,0,2,0.0,0,0
102,102,20200806,HH,NC,0,B,34,29,1,1,5,0,0,0,0,0,1,0,4,0.0,0,6,1,1,11,0.2,5,1
103,103,20200806,SK,LT,0,T,35,33,2,2,8,1,0,1,0,0,1,1,1,0.0,0,8,1,1,13,0.4,5,2
104,104,20200806,SS,OB,0,T,40,38,2,2,11,0,0,0,3,0,0,0,2,0.0,0,7,0,0,24,0.1,10,1
105,105,20200806,OB,SS,0,B,36,31,5,5,7,1,1,0,0,0,1,0,4,0.0,0,7,0,0,15,0.23076923100000002,13,3
106,106,20200806,NC,HH,0,T,39,32,4,4,8,1,0,2,0,0,0,0,7,0.0,0,4,1,1,17,0.14285714300000002,7,1
107,107,20200806,WO,KT,0,B,35,28,3,3,7,2,0,1,1,0,2,1,5,1.0,0,4,1,1,15,0.470588235,8,0
108,108,20200806,HT,LG,0,B,42,35,13,13,12,3,0,4,2,0,0,0,6,0.0,1,8,1,1,17,0.384615385,13,5
109,109,20200806,LT,SK,0,B,39,33,8,8,6,0,0,2,0,0,0,0,4,0.0,2,6,0,0,10,0.0,2,0
110,110,20200807,LT,OB,0,T,49,39,7,8,12,2,0,2,0,0,1,1,8,0.0,1,6,1,1,32,0.133333333,15,2
111,111,20200807,LG,WO,0,T,39,36,5,5,10,0,1,1,0,0,1,1,2,0.0,0,10,1,1,17,0.25,8,2
112,112,20200807,SS,SK,0,T,36,29,2,2,6,1,0,1,2,0,1,0,4,0.0,2,7,1,1,12,0.2,5,1
113,113,20200807,OB,LT,0,B,38,35,4,4,11,1,0,0,2,0,2,2,1,0.0,0,2,1,1,12,0.28571428600000004,7,2
114,114,20200807,WO,LG,0,B,38,32,2,2,6,2,0,0,0,0,1,1,4,0.0,1,8,0,0,21,0.0,9,0
115,115,20200807,SK,SS,0,B,34,32,0,0,4,1,0,0,0,0,0,0,2,0.0,0,7,0,0,16,0.0,8,0
116,116,20200808,NC,HT,0,T,40,31,2,2,6,1,2,0,2,0,0,0,7,0.0,2,6,1,1,16,0.375,8,3
117,117,20200808,OB,LT,0,B,16,16,1,1,3,0,0,1,0,0,0,0,0,0.0,0,0,2,2,3,0.0,0,0
118,118,20200808,LT,OB,0,T,24,22,1,1,6,1,0,0,0,0,1,1,1,0.0,0,6,1,1,7,0.0,2,0
119,119,20200808,LG,WO,0,T,35,32,1,1,8,2,0,1,0,0,0,0,3,0.0,0,4,0,0,7,0.666666667,3,2
120,120,20200808,SS,SK,0,T,19,17,2,2,5,1,0,1,0,0,1,1,1,0.0,0,1,0,0,6,0.0,1,0
121,121,20200808,HT,NC,0,B,28,28,3,3,4,1,0,1,0,0,0,0,0,0.0,0,9,0,0,1,0.5,2,1
122,122,20200808,SK,SS,0,B,22,19,2,4,3,2,1,0,0,0,0,0,2,0.0,1,0,0,0,11,0.14285714300000002,7,1
123,123,20200808,WO,LG,0,B,35,32,5,5,9,1,0,1,1,0,0,0,3,0.0,0,7,1,1,14,0.25,8,2
124,124,20200809,NC,HT,0,T,45,39,7,8,14,2,1,1,0,0,0,0,5,0.0,1,8,2,2,21,0.333333333,15,5
125,125,20200809,KT,HH,0,T,42,37,6,6,12,5,0,1,0,0,0,0,5,0.0,0,9,1,1,22,0.25,12,3
126,126,20200809,WO,LG,0,B,34,28,1,2,7,0,0,0,2,0,2,0,3,0.0,1,6,2,2,19,0.1,10,1
127,127,20200809,HH,KT,0,B,38,34,2,3,8,1,0,1,0,0,1,1,3,0.0,0,12,1,1,18,0.1,10,1
128,128,20200809,LG,WO,0,T,31,30,1,1,4,2,0,1,0,0,0,0,1,0.0,0,8,1,1,7,0.0,4,0
129,129,20200809,HT,NC,0,B,41,32,1,1,4,0,0,0,0,0,0,0,9,0.0,0,7,0,0,28,0.0,9,0
130,130,20200811,SK,SK,0,T,34,30,0,1,4,0,0,0,0,0,0,0,4,0.0,0,8,2,2,16,0.0,4,0
131,131,20200811,LG,HT,0,B,37,36,4,4,9,2,0,1,0,0,0,0,1,0.0,0,11,0,0,15,0.333333333,9,3
132,132,20200811,WO,HH,0,B,56,45,5,5,12,1,0,1,2,0,3,1,7,0.0,1,13,0,0,29,0.307692308,13,4
133,133,20200811,SS,OB,0,B,36,34,1,1,8,0,0,1,0,0,0,0,2,0.0,0,5,1,1,17,0.0,4,0
134,134,20200811,OB,SS,0,T,39,33,6,6,9,1,0,1,0,0,0,0,6,0.0,0,4,2,2,20,0.28571428600000004,14,4
135,135,20200811,HT,LG,0,T,43,35,8,8,11,3,0,0,0,0,1,0,6,0.0,1,3,1,1,19,0.454545455,11,5
136,136,20200811,KT,SK,0,B,38,31,6,6,11,2,0,1,0,0,1,1,6,0.0,0,8,2,2,13,0.333333333,9,3
137,137,20200811,HH,WO,0,T,55,44,7,7,10,1,0,1,0,0,3,1,6,1.0,2,10,0,0,27,0.214285714,14,3
138,138,20200812,HT,LG,0,T,35,29,0,0,2,0,0,0,0,0,0,0,5,0.0,1,14,0,0,13,0.0,6,0
139,139,20200812,KT,SK,0,B,30,27,1,2,2,1,0,0,0,0,0,0,2,0.0,1,3,2,2,8,0.0,4,0
140,140,20200812,HH,WO,0,T,38,34,2,2,4,1,0,1,1,0,0,0,2,0.0,2,8,0,0,9,0.25,4,1
141,141,20200812,NC,LT,0,T,41,35,4,4,9,1,0,0,0,0,1,0,5,0.0,0,8,0,0,24,0.25,8,2
142,142,20200812,SS,OB,0,B,43,42,7,8,16,4,0,2,0,0,0,0,1,0.0,0,6,1,1,20,0.307692308,13,4
143,143,20200812,SK,KT,0,T,46,36,11,11,12,3,0,1,1,0,0,0,9,0.0,1,5,1,1,21,0.35714285700000004,14,5
144,144,20200812,LG,HT,0,B,37,34,8,8,12,5,0,0,1,0,0,0,3,0.0,0,9,2,2,11,0.538461538,13,7
145,145,20200812,LT,NC,0,B,41,33,8,8,13,3,0,1,0,0,2,0,4,0.0,2,4,1,1,22,0.214285714,14,3
146,146,20200812,OB,SS,0,T,50,45,14,15,24,2,0,2,0,0,2,2,3,0.0,0,2,3,3,18,0.473684211,19,9
