,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,HIT,H2,H3,HR,SB,CS,BB,IB,KK,WP,BK,R,ER
40,20200806,SK,LT,0,B,0,L,0.0,27.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,8,6
41,20200806,LG,HT,0,T,0,L,0.0,24.0,12.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,8.0,1.0,0.0,13,13
42,20200807,SS,SK,0,T,0,W,1.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0,0
43,20200807,LG,WO,0,T,0,W,1.0,27.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,2,2
44,20200807,LT,OB,0,T,0,W,1.0,27.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4,4
45,20200807,SK,SS,0,B,0,L,0.0,27.0,6.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,7.0,1.0,0.0,2,2
46,20200807,OB,LT,0,B,0,L,1.0,27.0,12.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,8,5
47,20200807,WO,LG,0,B,0,L,0.0,27.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5,5
48,20200808,WO,LG,0,B,0,W,0.0,27.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,1
49,20200808,HT,NC,0,B,0,W,1.0,27.0,6.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0,2,2
50,20200808,SK,SS,0,B,1,W,0.0,15.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2
51,20200808,NC,HT,0,T,0,L,0.0,24.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3,3
52,20200808,SS,SK,0,T,1,L,0.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2
53,20200808,LG,WO,0,T,0,L,0.0,24.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,5,5
54,20200808,OB,LT,0,B,1,D,0.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1,1
