G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER
20200726HTSS0,20200726,HT,SS,0,B,0,W,4.0,27.0,157,43,36,12.0,4.0,0.0,1.0,1.0,0.0,3,1,4.0,0.0,0.0,4.0,0,1.0,0.0,0,5,5
20200726SKHH0,20200726,SK,HH,0,T,0,W,2.0,27.0,174,38,34,8.0,2.0,0.0,1.0,0.0,0.0,0,0,4.0,0.0,0.0,8.0,1,0.0,0.0,1,4,4
20200726KTNC0,20200726,KT,NC,0,B,0,W,0.0,27.0,123,34,32,7.0,1.0,0.0,2.0,1.0,0.0,1,1,1.0,0.0,0.0,7.0,1,0.0,0.0,1,4,4
20200726OBLG0,20200726,OB,LG,0,B,0,L,0.0,27.0,139,36,33,7.0,0.0,1.0,0.0,2.0,0.0,1,1,2.0,0.0,0.0,8.0,1,0.0,0.0,1,4,2
20200726SSHT0,20200726,SS,HT,0,T,0,L,0.0,24.0,170,41,37,12.0,2.0,1.0,0.0,0.0,0.0,0,0,3.0,0.0,1.0,5.0,0,1.0,0.0,0,8,6
20200726HHSK0,20200726,HH,SK,0,B,0,L,0.0,27.0,180,42,35,10.0,2.0,0.0,0.0,1.0,0.0,0,0,5.0,0.0,2.0,5.0,1,2.0,0.0,1,7,7
20200726LTWO0,20200726,LT,WO,0,T,0,L,0.0,24.0,150,40,35,13.0,4.0,0.0,0.0,0.0,1.0,0,0,4.0,1.0,1.0,5.0,1,0.0,0.0,1,8,8
20200726NCKT0,20200726,NC,KT,0,T,0,L,0.0,24.0,138,36,34,8.0,0.0,0.0,3.0,2.0,0.0,0,0,2.0,0.0,0.0,8.0,1,1.0,0.0,1,5,3
20200727SKHH0,20200727,SK,HH,0,T,0,D,0.0,27.0,156,35,29,5.0,3.0,0.0,0.0,1.0,0.0,1,0,5.0,0.0,0.0,5.0,2,0.0,0.0,2,5,5
20200727HHSK0,20200727,HH,SK,0,B,0,D,1.0,27.0,138,37,32,10.0,3.0,0.0,1.0,1.0,0.0,1,0,3.0,0.0,1.0,5.0,3,1.0,0.0,3,5,5
20200728LGSK0,20200728,LG,SK,0,T,0,W,0.0,27.0,166,41,34,8.0,3.0,0.0,2.0,0.0,0.0,0,0,5.0,0.0,2.0,10.0,1,1.0,0.0,1,7,7
20200728LTNC0,20200728,LT,NC,0,B,0,W,1.0,27.0,185,46,42,17.0,3.0,0.0,2.0,2.0,0.0,0,0,4.0,0.0,0.0,7.0,1,0.0,0.0,1,9,8
20200728OBWO0,20200728,OB,WO,0,B,0,L,0.0,27.0,166,43,34,8.0,2.0,0.0,1.0,0.0,0.0,2,1,5.0,1.0,2.0,6.0,0,0.0,0.0,0,6,5
20200728NCLT0,20200728,NC,LT,0,T,0,L,0.0,24.599999999999998,168,46,36,14.0,3.0,0.0,2.0,0.0,0.0,2,1,8.0,1.0,0.0,6.0,1,0.0,0.0,1,11,11
20200728SKLG0,20200728,SK,LG,0,B,0,L,0.0,27.0,221,58,49,23.0,3.0,1.0,6.0,0.0,0.0,0,0,7.0,1.0,2.0,6.0,1,3.0,0.0,1,24,24
20200728WOOB0,20200728,WO,OB,0,T,0,W,2.0,27.0,130,38,36,9.0,2.0,0.0,1.0,0.0,0.0,0,0,2.0,0.0,0.0,4.0,0,0.0,0.0,0,2,2
20200729SKLG0,20200729,SK,LG,0,B,0,L,0.0,27.0,179,45,36,13.0,0.0,0.0,3.0,1.0,0.0,0,0,8.0,0.0,1.0,7.0,2,0.0,0.0,2,11,11
20200729HHSS0,20200729,HH,SS,0,T,0,W,1.0,27.0,195,44,34,9.0,1.0,0.0,2.0,1.0,1.0,0,0,8.0,0.0,2.0,7.0,1,0.0,0.0,1,7,7
20200729LGSK0,20200729,LG,SK,0,T,0,W,1.0,27.0,146,44,40,14.0,1.0,0.0,4.0,2.0,0.0,0,0,3.0,0.0,1.0,5.0,0,0.0,0.0,0,6,6
20200729SSHH0,20200729,SS,HH,0,B,0,L,0.0,27.0,181,49,44,18.0,1.0,0.0,1.0,0.0,0.0,1,1,3.0,0.0,1.0,7.0,1,0.0,0.0,1,12,5
20200730KTHT0,20200730,KT,HT,0,T,0,W,1.0,27.0,136,36,33,8.0,3.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,1.0,8.0,1,0.0,0.0,1,1,1
20200730LGSK0,20200730,LG,SK,0,T,0,W,1.0,27.0,138,34,30,4.0,3.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,1.0,8.0,0,1.0,0.0,0,1,1
20200730WOOB0,20200730,WO,OB,0,T,0,W,3.0,27.0,141,41,36,10.0,0.0,0.0,2.0,2.0,0.0,1,0,3.0,0.0,1.0,8.0,0,0.0,0.0,0,5,5
20200730HHSS0,20200730,HH,SS,0,T,0,L,0.0,30.599999999999998,196,46,36,6.0,2.0,0.0,0.0,3.0,0.0,2,0,7.0,1.0,1.0,12.0,0,3.0,0.0,0,2,1
20200730HTKT0,20200730,HT,KT,0,B,0,L,0.0,27.0,142,38,31,11.0,2.0,0.0,0.0,1.0,3.0,2,0,3.0,0.0,2.0,6.0,1,2.0,0.0,1,4,4
20200730OBWO0,20200730,OB,WO,0,B,0,L,0.0,27.0,139,39,34,13.0,2.0,0.0,1.0,2.0,0.0,1,0,3.0,0.0,1.0,2.0,2,0.0,0.0,2,8,8
20200730SKLG0,20200730,SK,LG,0,B,0,L,0.0,27.0,187,45,39,13.0,3.0,0.0,1.0,1.0,0.0,0,0,5.0,0.0,1.0,6.0,1,1.0,0.0,1,9,9
20200730SSHH0,20200730,SS,HH,0,B,0,W,0.0,33.0,181,43,36,3.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,2.0,12.0,0,0.0,0.0,0,1,0
20200731SKKT0,20200731,SK,KT,0,T,0,L,0.0,24.0,175,42,39,16.0,3.0,0.0,4.0,0.0,1.0,0,0,3.0,0.0,0.0,8.0,0,0.0,0.0,0,11,11
20200731HTLT0,20200731,HT,LT,0,T,0,W,0.0,27.0,130,36,33,6.0,2.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,5.0,3,0.0,0.0,3,2,1
20200731HHLG0,20200731,HH,LG,0,T,0,W,0.0,27.0,136,31,29,4.0,2.0,0.0,0.0,0.0,1.0,0,0,2.0,0.0,0.0,9.0,0,1.0,0.0,0,1,1
20200731WOSS0,20200731,WO,SS,0,T,0,W,3.0,27.0,151,40,35,8.0,1.0,0.0,0.0,0.0,1.0,0,0,3.0,1.0,2.0,5.0,0,0.0,1.0,0,3,3
20200731NCOB0,20200731,NC,OB,0,B,0,W,0.0,27.0,180,44,39,14.0,2.0,0.0,1.0,2.0,0.0,1,0,4.0,0.0,0.0,8.0,1,1.0,0.0,1,7,7
20200731LGHH0,20200731,LG,HH,0,B,0,L,0.0,27.0,137,37,34,10.0,1.0,0.0,0.0,0.0,1.0,1,1,2.0,0.0,0.0,4.0,0,0.0,0.0,0,2,2
20200731LTHT0,20200731,LT,HT,0,B,0,L,0.0,27.0,160,38,34,8.0,1.0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,0.0,10.0,1,0.0,0.0,1,3,2
20200731SSWO0,20200731,SS,WO,0,B,0,L,0.0,27.0,157,42,36,10.0,2.0,0.0,3.0,1.0,0.0,0,0,6.0,0.0,0.0,7.0,1,1.0,0.0,1,10,10
20200731KTSK0,20200731,KT,SK,0,B,0,W,2.0,27.0,148,36,31,4.0,0.0,0.0,1.0,0.0,0.0,0,0,5.0,0.0,0.0,5.0,1,1.0,0.0,1,1,1
20200731OBNC0,20200731,OB,NC,0,T,0,L,1.0,24.0,184,42,37,14.0,4.0,0.0,1.0,2.0,0.0,0,0,3.0,0.0,2.0,7.0,1,0.0,0.0,1,10,10
20200801KTSK0,20200801,KT,SK,0,B,0,W,0.0,27.0,135,34,32,6.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,5.0,1,0.0,0.0,1,0,0
20200801HTLT0,20200801,HT,LT,0,T,0,L,0.0,24.0,134,37,31,10.0,3.0,0.0,2.0,0.0,1.0,1,1,5.0,0.0,0.0,3.0,2,0.0,0.0,2,7,6
20200801HHLG0,20200801,HH,LG,0,T,0,L,0.0,24.0,161,41,39,15.0,3.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,7.0,0,2.0,0.0,0,9,7
20200801SSWO0,20200801,SS,WO,0,B,0,L,0.0,27.0,246,62,48,23.0,7.0,0.0,1.0,1.0,0.0,2,1,11.0,0.0,1.0,6.0,0,0.0,0.0,0,22,21
20200801SKKT0,20200801,SK,KT,0,T,0,L,0.0,24.0,135,41,36,13.0,1.0,1.0,3.0,0.0,0.0,0,0,5.0,0.0,0.0,2.0,2,1.0,0.0,2,11,11
20200801LTHT0,20200801,LT,HT,0,B,0,W,0.0,27.0,147,36,34,9.0,2.0,0.0,1.0,0.0,0.0,0,0,2.0,0.0,0.0,9.0,1,0.0,0.0,1,3,3
20200801OBNC0,20200801,OB,NC,0,T,0,W,1.0,30.0,189,51,45,15.0,4.0,0.0,2.0,2.0,0.0,0,0,7.0,0.0,0.0,8.0,0,0.0,0.0,0,10,9
20200801WOSS0,20200801,WO,SS,0,T,0,W,1.0,27.0,185,40,34,8.0,4.0,0.0,0.0,0.0,1.0,0,0,4.0,0.0,2.0,8.0,0,0.0,0.0,0,7,6
20200801LGHH0,20200801,LG,HH,0,B,0,W,1.0,27.0,167,40,34,8.0,2.0,0.0,1.0,1.0,0.0,0,0,5.0,0.0,1.0,8.0,0,2.0,0.0,0,6,6
20200801NCOB0,20200801,NC,OB,0,B,0,L,0.0,30.0,186,52,45,17.0,2.0,1.0,0.0,2.0,0.0,2,1,4.0,1.0,0.0,9.0,1,2.0,0.0,1,12,11
20200802LTHT0,20200802,LT,HT,0,B,0,W,0.0,27.0,124,32,30,4.0,2.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,10.0,1,0.0,0.0,1,0,0
20200802WOSS0,20200802,WO,SS,0,T,0,W,0.0,30.0,149,41,39,10.0,1.0,0.0,1.0,1.0,0.0,0,0,2.0,0.0,0.0,8.0,0,0.0,0.0,0,2,2
20200802OBNC0,20200802,OB,NC,0,T,0,W,0.0,36.0,182,47,42,8.0,1.0,0.0,2.0,0.0,0.0,0,0,3.0,0.0,2.0,10.0,1,1.0,0.0,1,4,4
20200802SSWO0,20200802,SS,WO,0,B,0,L,2.0,30.0,141,41,38,10.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,1.0,0.0,4.0,2,0.0,0.0,2,4,4
20200802HTLT0,20200802,HT,LT,0,T,0,L,0.0,24.0,161,39,34,11.0,4.0,0.0,0.0,0.0,0.0,1,0,4.0,0.0,0.0,6.0,2,0.0,0.0,2,8,7
20200804HTLG0,20200804,HT,LG,0,B,0,L,0.0,27.0,184,47,41,16.0,1.0,2.0,3.0,0.0,0.0,0,0,5.0,0.0,1.0,9.0,1,1.0,0.0,1,15,15
20200804SKLT0,20200804,SK,LT,0,B,0,L,0.0,27.0,170,46,41,15.0,3.0,0.0,1.0,0.0,0.0,0,0,4.0,0.0,1.0,2.0,1,1.0,0.0,1,8,8
20200804OBSS0,20200804,OB,SS,0,B,0,L,0.0,27.0,166,41,34,7.0,2.0,0.0,1.0,1.0,0.0,0,0,6.0,1.0,1.0,10.0,0,1.0,0.0,0,6,6
20200804LGHT0,20200804,LG,HT,0,T,0,W,1.0,27.0,146,40,36,8.0,1.0,0.0,1.0,0.0,0.0,0,0,4.0,0.0,0.0,10.0,0,0.0,0.0,0,5,3
20200804KTWO0,20200804,KT,WO,0,T,0,W,3.0,27.0,154,38,34,10.0,0.0,0.0,1.0,0.0,0.0,1,0,3.0,0.0,0.0,7.0,2,0.0,0.0,2,2,2
20200804LTSK0,20200804,LT,SK,0,T,0,W,0.0,27.0,120,33,31,6.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,6.0,1,0.0,0.0,1,0,0
20200804WOKT0,20200804,WO,KT,0,B,0,L,1.0,27.0,143,38,32,11.0,1.0,0.0,0.0,1.0,1.0,2,0,4.0,0.0,0.0,9.0,3,0.0,0.0,3,4,4
20200804SSOB0,20200804,SS,OB,0,T,0,W,3.0,27.0,138,37,36,9.0,1.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,4.0,0,1.0,0.0,0,3,2
20200805WOKT0,20200805,WO,KT,0,B,0,W,1.0,27.0,128,36,34,10.0,1.0,0.0,1.0,0.0,2.0,0,0,1.0,0.0,1.0,3.0,1,0.0,0.0,1,3,2
20200805LGHT0,20200805,LG,HT,0,T,0,W,3.0,27.0,151,38,35,9.0,1.0,0.0,0.0,1.0,0.0,1,0,2.0,0.0,0.0,11.0,0,0.0,0.0,0,4,4
20200805HHNC0,20200805,HH,NC,0,B,0,W,1.0,27.0,164,43,30,6.0,0.0,1.0,0.0,0.0,0.0,2,1,9.0,1.0,2.0,4.0,1,0.0,0.0,1,5,5
20200805HTLG0,20200805,HT,LG,0,B,0,L,0.0,27.0,161,41,35,11.0,3.0,0.0,2.0,0.0,1.0,1,0,5.0,0.0,0.0,10.0,2,2.0,0.0,2,6,6
20200805NCHH0,20200805,NC,HH,0,T,0,L,0.0,24.0,158,43,33,12.0,2.0,0.0,1.0,0.0,0.0,3,2,5.0,0.0,2.0,5.0,2,0.0,0.0,2,8,7
20200805KTWO0,20200805,KT,WO,0,T,0,L,0.0,24.0,183,46,40,15.0,2.0,0.0,1.0,0.0,0.0,0,0,5.0,0.0,1.0,7.0,0,0.0,0.0,0,12,7
20200805SSOB0,20200805,SS,OB,0,T,0,D,0.0,24.0,130,32,28,4.0,0.0,0.0,0.0,1.0,1.0,0,0,3.0,0.0,1.0,4.0,0,0.0,0.0,0,2,0
20200805OBSS0,20200805,OB,SS,0,B,0,D,0.0,24.299999999999997,155,40,34,12.0,2.0,0.0,0.0,1.0,1.0,2,0,4.0,2.0,0.0,4.0,1,1.0,1.0,1,2,1
20200806HTLG0,20200806,HT,LG,0,B,0,W,0.0,27.0,110,30,28,4.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,7.0,0,0.0,0.0,0,1,1
20200806NCHH0,20200806,NC,HH,0,T,0,W,3.0,27.0,154,34,29,5.0,0.0,0.0,0.0,0.0,1.0,1,0,4.0,0.0,0.0,6.0,1,0.0,0.0,1,1,1
20200806OBSS0,20200806,OB,SS,0,B,0,W,2.0,27.0,172,40,38,11.0,0.0,0.0,0.0,3.0,0.0,0,0,2.0,0.0,0.0,7.0,0,0.0,0.0,0,2,2
