,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
44,44,2020-07-28,두산,키움,0,B,38,36,2,2,9,2,0,1,0,0,0,0,2,0,0,4,0,0,15,0.111111111,9,1
45,45,2020-07-28,SK,LG,0,B,41,34,7,7,8,3,0,2,0,0,0,0,5,0,2,10,1,1,23,0.214285714,14,3
46,46,2020-07-29,한화,삼성,0,T,49,44,8,12,18,1,0,1,0,0,1,1,3,0,1,7,1,1,21,0.5,14,7
47,47,2020-07-29,LG,SK,0,T,45,36,11,11,13,0,0,3,1,0,0,0,8,0,1,7,2,2,14,0.5,12,6
48,48,2020-07-29,SK,LG,0,B,44,40,6,6,14,1,0,4,2,0,0,0,3,0,1,5,0,0,22,0.153846154,13,2
49,49,2020-07-29,삼성,한화,0,B,44,34,7,7,9,1,0,2,1,0,0,0,8,0,2,7,1,1,23,0.111111111,9,1
50,50,2020-07-30,Hero,두산,0,T,39,34,8,8,13,2,0,1,2,0,1,0,3,0,1,2,2,2,14,0.5,10,5
51,51,2020-07-30,KT,KIA,0,T,38,31,4,4,11,2,0,0,1,0,2,0,3,0,2,6,1,1,17,0.363636364,11,4
52,52,2020-07-30,LG,SK,0,T,45,39,9,9,13,3,0,1,1,0,0,0,5,0,1,6,1,1,20,0.466666667,15,7
53,53,2020-07-30,삼성,한화,0,B,46,36,1,2,6,2,0,0,3,0,2,0,7,1,1,12,0,0,23,0.066666667,15,1
54,54,2020-07-30,두산,키움,0,B,41,36,5,5,10,0,0,2,2,0,1,0,3,0,1,8,0,0,17,0.142857143,7,1
55,55,2020-07-30,KIA,KT,0,B,36,33,1,1,8,3,0,0,0,0,1,0,1,0,1,8,1,1,15,0,7,0
56,56,2020-07-30,SK,LG,0,B,34,30,1,1,4,3,0,0,0,0,0,0,3,0,1,8,0,0,11,0.125,8,1
57,57,2020-07-30,한화,삼성,0,T,42,36,1,1,3,0,0,0,0,0,0,0,4,0,2,12,0,0,21,0,5,0
58,58,2020-07-31,KT,SK,0,B,42,39,11,11,16,3,0,4,0,0,0,0,3,0,0,8,0,0,17,0.454545455,11,5
59,59,2020-07-31,NC,두산,0,B,42,37,10,10,14,4,0,1,2,0,0,0,3,0,2,7,1,1,15,0.4,15,6
60,60,2020-07-31,한화,LG,0,T,37,34,2,2,10,1,0,0,0,0,1,1,2,0,0,4,0,0,15,0.125,8,1
61,61,2020-07-31,Hero,삼성,0,T,42,36,9,10,10,2,0,3,1,0,0,0,6,0,0,7,1,1,15,0.416666667,12,5
62,62,2020-07-31,KIA,롯데,0,T,38,34,2,3,8,1,0,0,0,0,0,0,4,0,0,10,1,1,19,0.166666667,6,1
63,63,2020-07-31,두산,NC,0,T,44,39,7,7,14,2,0,1,2,0,1,0,4,0,0,8,1,1,21,0.285714286,14,4
64,64,2020-07-31,삼성,키움,0,B,40,35,3,3,8,1,0,0,0,0,0,0,3,1,2,5,0,0,22,0.181818182,11,2
65,65,2020-07-31,롯데,KIA,0,B,36,33,1,2,6,2,0,0,0,0,0,0,3,0,0,5,3,3,23,0.181818182,11,2
